date,price
2021-01-01,28994.009765625
2021-01-02,29376.455078125
2021-01-03,32129.408203125
2021-01-04,32810.94921875
2021-01-05,31977.041015625
2021-01-06,34013.61328125
2021-01-07,36833.875
2021-01-08,39381.765625
2021-01-09,40788.640625
2021-01-10,40254.21875
2021-01-11,38346.53125
2021-01-12,35516.359375
2021-01-13,33915.12109375
2021-01-14,37325.109375
2021-01-15,39156.70703125
2021-01-16,36821.6484375
2021-01-17,36163.6484375
2021-01-18,35792.23828125
2021-01-19,36642.234375
2021-01-20,36050.11328125
2021-01-21,35549.3984375
2021-01-22,30817.625
2021-01-23,32985.7578125
2021-01-24,32064.376953125
2021-01-25,32285.798828125
2021-01-26,32358.61328125
2021-01-27,32564.029296875
2021-01-28,30441.041015625
2021-01-29,34318.671875
2021-01-30,34295.93359375
2021-01-31,34270.87890625
2021-02-01,33114.578125
2021-02-02,33533.19921875
2021-02-03,35510.8203125
2021-02-04,37475.10546875
2021-02-05,36931.546875
2021-02-06,38138.38671875
2021-02-07,39250.19140625
2021-02-08,38886.828125
2021-02-09,46184.9921875
2021-02-10,46469.76171875
2021-02-11,44898.7109375
2021-02-12,47877.03515625
2021-02-13,47491.203125
2021-02-14,47114.5078125
2021-02-15,48696.53515625
2021-02-16,47944.45703125
2021-02-17,49207.27734375
2021-02-18,52140.97265625
2021-02-19,51675.98046875
2021-02-20,55887.3359375
2021-02-21,56068.56640625
2021-02-22,57532.73828125
2021-02-23,54204.9296875
2021-02-24,48835.0859375
2021-02-25,49709.08203125
2021-02-26,47180.46484375
2021-02-27,46344.7734375
2021-02-28,46194.015625
2021-03-01,45159.50390625
2021-03-02,49612.10546875
2021-03-03,48415.81640625
2021-03-04,50522.3046875
2021-03-05,48527.03125
2021-03-06,48899.23046875
2021-03-07,48918.6796875
2021-03-08,51174.1171875
2021-03-09,52272.96875
2021-03-10,54824.01171875
2021-03-11,55963.1796875
2021-03-12,57821.21875
2021-03-13,57343.37109375
2021-03-14,61221.1328125
2021-03-15,59267.4296875
2021-03-16,55840.78515625
2021-03-17,56825.828125
2021-03-18,58893.078125
2021-03-19,57850.44140625
2021-03-20,58332.26171875
2021-03-21,58309.9140625
2021-03-22,57517.890625
2021-03-23,54511.66015625
2021-03-24,54710.48828125
2021-03-25,52726.74609375
2021-03-26,51683.01171875
2021-03-27,55137.56640625
2021-03-28,55974.94140625
2021-03-29,55947.8984375
2021-03-30,57750.1328125
2021-03-31,58930.27734375
2021-04-01,58926.5625
2021-04-02,59098.87890625
2021-04-03,59397.41015625
2021-04-04,57604.83984375
2021-04-05,58760.875
2021-04-06,59171.93359375
2021-04-07,58186.5078125
2021-04-08,56099.9140625
2021-04-09,58326.5625
2021-04-10,58253.77734375
2021-04-11,59846.23046875
2021-04-12,60175.9453125
2021-04-13,59890.01953125
2021-04-14,63523.75390625
2021-04-15,63075.1953125
2021-04-16,63258.50390625
2021-04-17,61529.921875
2021-04-18,60701.88671875
2021-04-19,56191.5859375
2021-04-20,55681.79296875
2021-04-21,56471.12890625
2021-04-22,53857.10546875
2021-04-23,51739.80859375
2021-04-24,51143.2265625
2021-04-25,50052.83203125
2021-04-26,49077.79296875
2021-04-27,54030.3046875
2021-04-28,55036.63671875
2021-04-29,54858.08984375
2021-04-30,53568.6640625
2021-05-01,57714.6640625
2021-05-02,57825.86328125
2021-05-03,56620.2734375
2021-05-04,57214.1796875
2021-05-05,53252.1640625
2021-05-06,57441.30859375
2021-05-07,56413.953125
2021-05-08,57352.765625
2021-05-09,58877.390625
2021-05-10,58250.87109375
2021-05-11,55847.2421875
2021-05-12,56714.53125
2021-05-13,49735.43359375
2021-05-14,49682.98046875
2021-05-15,49855.49609375
2021-05-16,46716.63671875
2021-05-17,46415.8984375
2021-05-18,43488.05859375
2021-05-19,42944.9765625
2021-05-20,36753.66796875
2021-05-21,40596.94921875
2021-05-22,37371.03125
2021-05-23,37531.44921875
2021-05-24,34700.36328125
2021-05-25,38795.78125
2021-05-26,38392.625
2021-05-27,39316.890625
2021-05-28,38507.08203125
2021-05-29,35684.15625
2021-05-30,34607.40625
2021-05-31,35658.59375
2021-06-01,37293.79296875
2021-06-02,36699.921875
2021-06-03,37599.41015625
2021-06-04,39242.484375
2021-06-05,36880.15625
2021-06-06,35538.609375
2021-06-07,35835.265625
2021-06-08,33589.51953125
2021-06-09,33416.9765625
2021-06-10,37389.515625
2021-06-11,36697.03125
2021-06-12,37340.14453125
2021-06-13,35555.7890625
2021-06-14,39016.96875
2021-06-15,40427.16796875
2021-06-16,40168.69140625
2021-06-17,38341.421875
2021-06-18,38099.4765625
2021-06-19,35854.52734375
2021-06-20,35563.140625
2021-06-21,35641.14453125
2021-06-22,31622.376953125
2021-06-23,32515.71484375
2021-06-24,33682.80078125
2021-06-25,34659.10546875
2021-06-26,31594.6640625
2021-06-27,32287.5234375
2021-06-28,34679.12109375
2021-06-29,34475.55859375
2021-06-30,35908.38671875
2021-07-01,35035.984375
2021-07-02,33549.6015625
2021-07-03,33854.421875
2021-07-04,34665.56640625
2021-07-05,35284.34375
2021-07-06,33723.5078125
2021-07-07,34225.6796875
2021-07-08,33889.60546875
2021-07-09,32861.671875
2021-07-10,33811.2421875
2021-07-11,33509.078125
2021-07-12,34254.015625
2021-07-13,33125.46875
2021-07-14,32723.845703125
2021-07-15,32827.875
2021-07-16,31841.55078125
2021-07-17,31397.30859375
2021-07-18,31533.884765625
2021-07-19,31800.01171875
2021-07-20,30838.28515625
2021-07-21,29796.28515625
2021-07-22,32138.873046875
2021-07-23,32305.958984375
2021-07-24,33593.73046875
2021-07-25,34290.29296875
2021-07-26,35384.03125
2021-07-27,37276.03515625
2021-07-28,39503.1875
2021-07-29,39995.453125
2021-07-30,40027.484375
2021-07-31,42196.3046875
2021-08-01,41460.84375
2021-08-02,39907.26171875
2021-08-03,39178.40234375
2021-08-04,38213.33203125
2021-08-05,39744.515625
2021-08-06,40865.8671875
2021-08-07,42832.796875
2021-08-08,44574.4375
2021-08-09,43791.92578125
2021-08-10,46280.84765625
2021-08-11,45599.703125
2021-08-12,45576.87890625
2021-08-13,44439.69140625
2021-08-14,47810.6875
2021-08-15,47096.66796875
2021-08-16,47019.9609375
2021-08-17,45936.45703125
2021-08-18,44686.75
2021-08-19,44741.8828125
2021-08-20,46723.12109375
2021-08-21,49327.07421875
2021-08-22,48869.10546875
2021-08-23,49291.67578125
2021-08-24,49562.34765625
2021-08-25,47727.2578125
2021-08-26,49002.640625
2021-08-27,46894.5546875
2021-08-28,49072.5859375
2021-08-29,48911.25
2021-08-30,48834.8515625
2021-08-31,47024.33984375
2021-09-01,47099.7734375
2021-09-02,48807.84765625
2021-09-03,49288.25
2021-09-04,50009.32421875
2021-09-05,49937.859375
2021-09-06,51769.00390625
2021-09-07,52660.48046875
2021-09-08,46827.76171875
2021-09-09,45774.7421875
2021-09-10,46396.6640625
2021-09-11,44869.83984375
2021-09-12,45206.62890625
2021-09-13,46057.21484375
2021-09-14,44960.05078125
2021-09-15,47098.0
2021-09-16,48158.90625
2021-09-17,47771.00390625
2021-09-18,47273.52734375
2021-09-19,48268.85546875
2021-09-20,47261.40625
2021-09-21,43012.234375
2021-09-22,40677.953125
2021-09-23,43560.296875
2021-09-24,44894.30078125
2021-09-25,42840.890625
2021-09-26,42721.62890625
2021-09-27,43234.18359375
2021-09-28,42200.8984375
2021-09-29,41064.984375
2021-09-30,41551.26953125
2021-10-01,43816.7421875
2021-10-02,48137.46875
2021-10-03,47680.02734375
2021-10-04,48208.90625
2021-10-05,49174.9609375
2021-10-06,51486.6640625
2021-10-07,55338.625
2021-10-08,53802.14453125
2021-10-09,53929.78125
2021-10-10,54952.8203125
2021-10-11,54734.125
2021-10-12,57526.83203125
2021-10-13,56038.2578125
2021-10-14,57372.83203125
2021-10-15,57345.90234375
2021-10-16,61609.52734375
2021-10-17,60887.65234375
2021-10-18,61548.8046875
2021-10-19,62043.1640625
2021-10-20,64284.5859375
2021-10-21,66002.234375
2021-10-22,62237.890625
2021-10-23,60694.62890625
2021-10-24,61368.34375
2021-10-25,60893.92578125
2021-10-26,63032.76171875
2021-10-27,60352.0
2021-10-28,58470.73046875
2021-10-29,60624.87109375
2021-10-30,62239.36328125
2021-10-31,61850.48828125
2021-11-01,61320.44921875
2021-11-02,60963.25390625
2021-11-03,63254.3359375
2021-11-04,62941.8046875
2021-11-05,61460.078125
2021-11-06,61068.875
2021-11-07,61554.921875
2021-11-08,63344.06640625
2021-11-09,67549.734375
2021-11-10,66953.3359375
2021-11-11,64978.890625
2021-11-12,64863.98046875
2021-11-13,64158.12109375
2021-11-14,64455.37109375
2021-11-15,65521.2890625
2021-11-16,63721.1953125
2021-11-17,60139.62109375
2021-11-18,60360.13671875
2021-11-19,56896.12890625
2021-11-20,58115.08203125
2021-11-21,59730.5078125
2021-11-22,58706.84765625
2021-11-23,56304.5546875
2021-11-24,57565.8515625
2021-11-25,57165.41796875
2021-11-26,58960.28515625
2021-11-27,53736.4296875
2021-11-28,54813.0234375
2021-11-29,57291.90625
2021-11-30,57830.11328125
2021-12-01,56907.96484375
2021-12-02,57217.37109375
2021-12-03,56509.1640625
2021-12-04,53727.87890625
2021-12-05,49201.51953125
2021-12-06,49413.48046875
2021-12-07,50581.828125
2021-12-08,50667.6484375
2021-12-09,50450.08203125
2021-12-10,47642.14453125
2021-12-11,47264.6328125
2021-12-12,49354.85546875
2021-12-13,50114.7421875
2021-12-14,46709.82421875
2021-12-15,48379.75390625
2021-12-16,48900.46484375
2021-12-17,47653.73046875
2021-12-18,46219.25390625
2021-12-19,46853.8671875
2021-12-20,46707.0625
2021-12-21,46886.078125
2021-12-22,48937.09765625
2021-12-23,48626.34375
2021-12-24,50806.05078125
2021-12-25,50854.91796875
2021-12-26,50428.69140625
2021-12-27,50802.609375
2021-12-28,50679.859375
2021-12-29,47623.87109375
2021-12-30,46490.60546875
2021-12-31,47169.37109375
2022-01-01,46311.74609375
2022-01-02,47680.92578125
2022-01-03,47343.54296875
2022-01-04,46458.8515625
2022-01-05,45899.359375
2022-01-06,43565.51171875
2022-01-07,43153.5703125
2022-01-08,41561.46484375
2022-01-09,41734.7265625
2022-01-10,41910.23046875
2022-01-11,41819.5078125
2022-01-12,42742.1796875
2022-01-13,43946.7421875
2022-01-14,42598.87109375
2022-01-15,43101.8984375
2022-01-16,43172.0390625
2022-01-17,43118.12109375
2022-01-18,42250.07421875
2022-01-19,42374.0390625
2022-01-20,41744.02734375
2022-01-21,40699.60546875
2022-01-22,36471.58984375
2022-01-23,35047.359375
2022-01-24,36275.734375
2022-01-25,36654.8046875
2022-01-26,36950.515625
2022-01-27,36841.87890625
2022-01-28,37128.4453125
2022-01-29,37780.71484375
2022-01-30,38151.91796875
2022-01-31,37920.28125
2022-02-01,38481.765625
2022-02-02,38743.71484375
2022-02-03,36944.8046875
2022-02-04,37149.265625
2022-02-05,41501.48046875
2022-02-06,41441.12109375
2022-02-07,42406.78125
2022-02-08,43854.65234375
2022-02-09,44096.703125
2022-02-10,44347.80078125
2022-02-11,43571.12890625
2022-02-12,42412.30078125
2022-02-13,42236.56640625
2022-02-14,42157.3984375
2022-02-15,42586.46484375
2022-02-16,44578.27734375
2022-02-17,43937.0703125
2022-02-18,40552.1328125
2022-02-19,40026.0234375
2022-02-20,40118.1015625
2022-02-21,38423.2109375
2022-02-22,37068.76953125
2022-02-23,38285.28125
2022-02-24,37278.56640625
2022-02-25,38333.74609375
2022-02-26,39213.08203125
2022-02-27,39098.69921875
2022-02-28,37706.0
2022-03-01,43194.50390625
2022-03-02,44357.6171875
2022-03-03,43925.1953125
2022-03-04,42458.140625
2022-03-05,39148.44921875
2022-03-06,39404.19921875
2022-03-07,38429.3046875
2022-03-08,38059.90234375
2022-03-09,38742.81640625
2022-03-10,41974.0703125
2022-03-11,39439.96875
2022-03-12,38794.46484375
2022-03-13,38884.7265625
2022-03-14,37846.31640625
2022-03-15,39664.25
2022-03-16,39335.5703125
2022-03-17,41140.84375
2022-03-18,40944.83984375
2022-03-19,41794.6484375
2022-03-20,42191.40625
2022-03-21,41246.1328125
2022-03-22,41074.10546875
2022-03-23,42364.37890625
2022-03-24,42886.65234375
2022-03-25,43964.546875
2022-03-26,44349.859375
2022-03-27,44505.35546875
2022-03-28,46821.8515625
2022-03-29,47100.4375
2022-03-30,47456.8984375
2022-03-31,47062.1484375
2022-04-01,45554.1640625
2022-04-02,46285.5
2022-04-03,45859.12890625
2022-04-04,46445.2734375
2022-04-05,46624.5078125
2022-04-06,45544.35546875
2022-04-07,43207.5
2022-04-08,43505.13671875
2022-04-09,42282.078125
2022-04-10,42781.08984375
2022-04-11,42201.0390625
2022-04-12,39533.71484375
2022-04-13,40123.5703125
2022-04-14,41160.21875
2022-04-15,39939.40234375
2022-04-16,40552.31640625
2022-04-17,40417.77734375
2022-04-18,39721.203125
2022-04-19,40828.17578125
2022-04-20,41501.74609375
2022-04-21,41371.515625
2022-04-22,40525.86328125
2022-04-23,39738.72265625
2022-04-24,39478.375
2022-04-25,39472.60546875
2022-04-26,40448.421875
2022-04-27,38120.30078125
2022-04-28,39241.4296875
2022-04-29,39768.6171875
2022-04-30,38605.859375
2022-05-01,37713.265625
2022-05-02,38472.1875
2022-05-03,38528.109375
2022-05-04,37748.01171875
2022-05-05,39695.74609375
2022-05-06,36573.18359375
2022-05-07,36042.50390625
2022-05-08,35502.94140625
2022-05-09,34060.015625
2022-05-10,30273.654296875
2022-05-11,31016.18359375
2022-05-12,28936.734375
2022-05-13,29030.91015625
2022-05-14,29285.642578125
2022-05-15,30098.5859375
2022-05-16,31304.375
2022-05-17,29862.408203125
2022-05-18,30424.478515625
2022-05-19,28720.359375
2022-05-20,30311.119140625
2022-05-21,29199.859375
2022-05-22,29432.47265625
2022-05-23,30309.396484375
2022-05-24,29101.125
2022-05-25,29653.134765625
2022-05-26,29564.77734375
2022-05-27,29251.140625
2022-05-28,28622.625
2022-05-29,29019.8671875
2022-05-30,29443.365234375
2022-05-31,31723.865234375
2022-06-01,31792.5546875
2022-06-02,29794.890625
2022-06-03,30467.806640625
2022-06-04,29706.138671875
2022-06-05,29835.1171875
2022-06-06,29910.283203125
2022-06-07,31371.7421875
2022-06-08,31151.48046875
2022-06-09,30215.279296875
2022-06-10,30110.330078125
2022-06-11,29084.666015625
2022-06-12,28373.513671875
2022-06-13,26737.578125
2022-06-14,22487.986328125
2022-06-15,22196.73046875
2022-06-16,22576.3046875
2022-06-17,20385.71875
2022-06-18,20473.42578125
2022-06-19,19010.90234375
2022-06-20,20553.37109375
2022-06-21,20594.294921875
2022-06-22,20719.4140625
2022-06-23,19986.607421875
2022-06-24,21084.6484375
2022-06-25,21233.609375
2022-06-26,21496.494140625
2022-06-27,21028.23828125
2022-06-28,20731.544921875
2022-06-29,20281.169921875
2022-06-30,20108.3125
2022-07-01,19820.470703125
2022-07-02,19274.8359375
2022-07-03,19242.095703125
2022-07-04,19297.314453125
2022-07-05,20225.353515625
2022-07-06,20194.619140625
2022-07-07,20547.814453125
2022-07-08,21637.154296875
2022-07-09,21716.828125
2022-07-10,21591.080078125
2022-07-11,20856.353515625
2022-07-12,19970.474609375
2022-07-13,19325.97265625
2022-07-14,20211.466796875
2022-07-15,20573.15625
2022-07-16,20834.103515625
2022-07-17,21195.041015625
2022-07-18,20781.912109375
2022-07-19,22467.849609375
2022-07-20,23393.19140625
2022-07-21,23233.201171875
2022-07-22,23163.751953125
2022-07-23,22706.984375
2022-07-24,22465.509765625
2022-07-25,22607.15625
2022-07-26,21361.12109375
2022-07-27,21244.169921875
2022-07-28,22933.640625
2022-07-29,23845.212890625
2022-07-30,23796.818359375
2022-07-31,23652.0703125
2022-08-01,23336.71875
2022-08-02,23308.43359375
2022-08-03,22981.302734375
2022-08-04,22848.21484375
2022-08-05,22626.833984375
2022-08-06,23291.423828125
2022-08-07,22963.505859375
2022-08-08,23179.52734375
2022-08-09,23811.484375
2022-08-10,23162.8984375
2022-08-11,23948.345703125
2022-08-12,23957.203125
2022-08-13,24402.1875
2022-08-14,24429.056640625
2022-08-15,24318.31640625
2022-08-16,24126.13671875
2022-08-17,23881.31640625
2022-08-18,23341.0390625
2022-08-19,23213.3125
2022-08-20,20872.841796875
2022-08-21,21160.392578125
2022-08-22,21531.462890625
2022-08-23,21401.044921875
2022-08-24,21526.455078125
2022-08-25,21395.458984375
2022-08-26,21596.0859375
2022-08-27,20262.48046875
2022-08-28,20041.03515625
2022-08-29,19615.154296875
2022-08-30,20298.611328125
2022-08-31,19799.58203125
2022-09-01,20050.498046875
2022-09-02,20126.072265625
2022-09-03,19969.71875
2022-09-04,19832.470703125
2022-09-05,19988.7890625
2022-09-06,19817.724609375
2022-09-07,18837.68359375
2022-09-08,19289.94140625
2022-09-09,19328.140625
2022-09-10,21376.912109375
2022-09-11,21678.54296875
2022-09-12,21770.1484375
2022-09-13,22371.48046875
2022-09-14,20184.5546875
2022-09-15,20242.2890625
2022-09-16,19704.005859375
2022-09-17,19777.033203125
2022-09-18,20127.234375
2022-09-19,19418.572265625
2022-09-20,19545.591796875
2022-09-21,18891.283203125
2022-09-22,18534.650390625
2022-09-23,19412.400390625
