block,date_time,reward,usd_rewards
28908428,2024-04-08 02:52:30,0.0,0.0
28918428,2024-04-08 16:59:25,1.4254700513359251e+19,1.204328729538265
28928428,2024-04-09 06:54:45,2.043861408666135e+20,17.307398785212083
28938428,2024-04-09 20:56:50,9.564133073459476e+20,80.99989552897499
28948428,2024-04-10 11:07:50,1.493457819268721e+21,124.71497045833902
28958428,2024-04-11 01:24:05,1.9202363754019283e+21,159.44602247578678
28968428,2024-04-11 15:36:05,2.2048507224595232e+21,182.6078134104839
28978428,2024-04-12 05:30:55,2.919210171030849e+21,240.00767952681525
28988428,2024-04-12 19:24:35,3.243684978890752e+21,266.0797229029185
28998428,2024-04-13 09:18:25,3.795675616445888e+21,307.34757797007956
29008428,2024-04-13 23:21:20,3.9071106643562033e+21,315.6786710968279
29018428,2024-04-14 13:33:15,6.189147997892277e+21,478.50802128934026
29028428,2024-04-15 03:44:50,6.690065513146596e+21,516.0134904617368
29038428,2024-04-15 17:56:20,7.05994145794189e+21,543.7074129593117
29048428,2024-04-16 07:49:55,7.301241824245283e+21,561.7478221941574
29058428,2024-04-16 21:43:35,8.033863830295148e+21,616.5210536072227
29068428,2024-04-17 11:39:50,8.173413230814855e+21,626.6417667656407
29078428,2024-04-18 01:33:20,9.001105032600549e+21,684.8778453706503
29088428,2024-04-18 15:27:10,1.0228071870387693e+22,771.2067627973485
29098428,2024-04-19 05:20:40,1.0360283435957729e+22,780.4538370807766
29108428,2024-04-19 19:14:20,1.2297944098754492e+22,915.9767166995548
29118428,2024-04-20 09:08:00,1.2801653927332624e+22,950.0755243551486
29128428,2024-04-20 23:01:30,1.295260924626933e+22,960.2944958601151
29138428,2024-04-21 12:54:55,1.3404957474032332e+22,991.873224076968
29148428,2024-04-22 02:48:20,1.4214856791831676e+22,1048.6474147344504
29158428,2024-04-22 16:47:30,1.506180037685374e+22,1108.0184198895474
29168428,2024-04-23 06:58:55,1.5206655316767292e+22,1118.135342249686
29178428,2024-04-23 21:11:05,1.526981832037243e+22,1122.5467568958677
29188428,2024-04-24 11:22:35,1.5450199483742096e+22,1135.150969945041
29198428,2024-04-25 01:34:30,1.7170198484406302e+22,1251.789899520653
29208428,2024-04-25 15:46:40,1.8539109086989375e+22,1344.6203414618035
29218428,2024-04-26 05:45:05,1.8983964412723298e+22,1374.7668325532488
29228428,2024-04-26 19:38:30,1.9432190471429155e+22,1405.1417479562217
29238428,2024-04-27 09:32:05,1.9514665273428263e+22,1410.6246434169525
29248428,2024-04-27 23:25:40,2.030831443223809e+22,1463.3861568098362
29258428,2024-04-28 13:32:10,2.1766224126228497e+22,1564.1558579202365
29268428,2024-04-29 03:45:25,2.3991054372585635e+22,1720.775191802557
29278428,2024-04-29 17:57:45,2.409690011947329e+22,1728.226317747543
29288428,2024-04-30 08:10:30,2.42394998731306e+22,1738.1445450921767
29298428,2024-04-30 22:22:40,2.5120567967507567e+22,1799.4253919520825
29308428,2024-05-01 12:34:55,2.51275756342644e+22,1799.8714139016124
29318428,2024-05-02 02:40:15,2.5239464301365037e+22,1806.5312706303216
29328428,2024-05-02 16:34:35,2.7251440781255095e+22,1926.2884850544388
29338428,2024-05-03 06:29:55,2.733499031826061e+22,1931.099185901723
29348428,2024-05-03 20:24:20,2.829456156161278e+22,1986.3503621364805
29358428,2024-05-04 10:19:15,2.8388944300111213e+22,1991.9641235056456
29368428,2024-05-05 00:16:10,2.9568179537484383e+22,2062.6262582823197
29378428,2024-05-05 14:10:05,3.0061414243539853e+22,2092.1818687078207
29388428,2024-05-06 04:04:10,3.019087281514767e+22,2099.81718844662
29398428,2024-05-06 17:58:15,3.1738209849035436e+22,2191.077371922221
29408428,2024-05-07 07:51:45,3.1933622176197336e+22,2202.463881759713
29418428,2024-05-07 21:47:25,3.2224541317372955e+22,2219.4154922902317
29428428,2024-05-08 11:41:10,3.224947055469955e+22,2220.769518357895
29438428,2024-05-09 01:35:00,3.292287621851916e+22,2257.7342866713266
29448428,2024-05-09 15:28:45,3.3738812514308228e+22,2302.5228855097853
29458428,2024-05-10 05:32:30,3.3916052755223857e+22,2312.2817040229907
29468428,2024-05-10 19:44:25,3.398856040515304e+22,2316.2739633023875
29478428,2024-05-11 09:54:35,3.523848873001227e+22,2385.3564081111303
29488428,2024-05-12 00:04:35,3.5417445945791736e+22,2395.259571510452
29498428,2024-05-12 14:15:25,3.6793041474936782e+22,2471.3824997598917
29508428,2024-05-13 04:25:50,3.7183284384727935e+22,2491.6784270041094
29518428,2024-05-13 18:46:55,3.836058366541769e+22,2552.9079328991343
29528428,2024-05-14 09:04:20,3.872328007021258e+22,2571.322186251904
29538428,2024-05-14 23:15:20,3.898713021940833e+22,2584.717972452774
29548428,2024-05-15 13:26:05,4.025026883001605e+22,2647.214983063958
29558428,2024-05-16 03:33:45,4.100123916165083e+22,2685.232701150868
29568428,2024-05-16 17:27:20,4.1519790682687486e+22,2711.484264907581
29578428,2024-05-17 07:20:40,4.154305158483136e+22,2712.6676859542654
29588428,2024-05-17 21:14:25,4.226279616370896e+22,2749.2853922501085
29598428,2024-05-18 11:20:35,4.2455953125486715e+22,2758.9453276305276
29608428,2024-05-19 01:31:45,4.435914953986156e+22,2855.402502745715
29618428,2024-05-19 15:42:55,4.445754046149038e+22,2860.3891190957743
29628428,2024-05-20 05:49:55,4.456020320739168e+22,2865.506810744547
29638428,2024-05-20 19:43:30,4.481334968142763e+22,2878.126048470134
29648428,2024-05-21 09:50:20,4.52983558812448e+22,2905.1532347901825
29658428,2024-05-22 00:01:25,4.90777544062654e+22,3094.5098884603026
29668428,2024-05-22 14:12:10,4.912472992516933e+22,3096.863471181251
29678428,2024-05-23 04:46:45,4.951007450253286e+22,3115.559863624684
29688428,2024-05-23 19:34:50,5.2360823354914064e+22,3253.874303304739
29698428,2024-05-24 10:06:50,5.345034733481522e+22,3307.156536921326
29708428,2024-05-25 00:36:30,5.4348745576705595e+22,3349.046523711175
29718428,2024-05-25 15:06:15,5.569583503285024e+22,3411.8578215203806
29728428,2024-05-26 05:35:55,5.574343440370217e+22,3414.1039380143466
29738428,2024-05-26 19:33:25,5.6032318085933386e+22,3427.735765323905
29748428,2024-05-27 09:26:55,5.634461383126846e+22,3442.606457536553
29758428,2024-05-27 23:20:20,5.831995635408454e+22,3536.6670110667865
29768428,2024-05-28 13:21:30,5.83316228306648e+22,3537.2838927730486
29778428,2024-05-29 03:32:40,5.836068696489406e+22,3538.7999623403366
29788428,2024-05-29 17:48:35,5.865982701910318e+22,3554.403975484713
29798428,2024-05-30 08:10:45,5.997056039561684e+22,3621.055204366359
29808428,2024-05-30 22:35:00,6.246216903890391e+22,3747.754333985634
29818428,2024-05-31 13:04:45,6.267208501638727e+22,3758.385195925068
